date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:52:17	456089/456089	---MCZ	200	added ('OK')	text/html	etag:W/%226f599-5a75a3ffc4d6f%22	https://www.malinkacapital.com/hedge	C:/webcopy/malinkacapital.com/www.malinkacapital.com/hedge.html	(from https://www.malinkacapital.com/)
01:52:17	620319/620319	---MCZ	200	added ('OK')	text/html	etag:W/%229771f-5a75a40aae4d9%22	https://www.malinkacapital.com/instrumenty	C:/webcopy/malinkacapital.com/www.malinkacapital.com/instrumenty.html	(from https://www.malinkacapital.com/)
01:52:17	170270/170270	---MCZ	200	added ('OK')	text/html	etag:W/%222991e-5a6c8304e9232%22	https://www.malinkacapital.com/blog	C:/webcopy/malinkacapital.com/www.malinkacapital.com/blog.html	(from https://www.malinkacapital.com/)
01:52:18	1012652/1012652	---MCZ	200	added ('OK')	text/html	etag:W/%22f73ac-5a765842445c9%22	https://www.malinkacapital.com/eng	C:/webcopy/malinkacapital.com/www.malinkacapital.com/eng.html	(from https://www.malinkacapital.com/)
01:52:18	994710/994710	---MCZ	200	added ('OK')	text/html	etag:W/%22f2d96-5a75a3edd73ac%22	https://www.malinkacapital.com/mainpage	C:/webcopy/malinkacapital.com/www.malinkacapital.com/mainpage.html	(from https://www.malinkacapital.com/)
01:52:18	256669/256669	---MCZ	200	added ('OK')	text/html	etag:W/%223ea9d-5a6c83058a83b%22	https://www.malinkacapital.com/1	C:/webcopy/malinkacapital.com/www.malinkacapital.com/1.html	(from https://www.malinkacapital.com/)
01:52:19	38665/38665	---MCZ	200	added ('OK')	text/html	etag:W/%229709-5a6c830540973%22	https://www.malinkacapital.com/2	C:/webcopy/malinkacapital.com/www.malinkacapital.com/2.html	(from https://www.malinkacapital.com/)
01:52:19	38622/38622	---MCZ	200	added ('OK')	text/html	etag:W/%2296de-5a6c8305cd2a4%22	https://www.malinkacapital.com/3	C:/webcopy/malinkacapital.com/www.malinkacapital.com/3.html	(from https://www.malinkacapital.com/)
01:52:19	1500/1500	---MCZ	200	added ('OK')	text/css	etag:W/%225e172400-5dc%22	https://static.tildacdn.com/css/tilda-range-1.0.min.css	C:/webcopy/malinkacapital.com/static.tildacdn.com/css/tilda-range-1.0.min.css	(from https://www.malinkacapital.com/)
01:52:19	2023/2023	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e172402-7e7%22	https://static.tildacdn.com/js/tilda-range-1.0.min.js	C:/webcopy/malinkacapital.com/static.tildacdn.com/js/tilda-range-1.0.min.js	(from https://www.malinkacapital.com/)
01:52:20	102737/102737	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2219151-5a6c8304631a8%22	https://www.malinkacapital.com/features	C:/webcopy/malinkacapital.com/www.malinkacapital.com/features	(from https://www.malinkacapital.com/)
01:52:20	129/129	---MC-	200	added ('OK')	image/png	date:Sun,%2007%20Jun%202020%2020:52:46%20GMT	https://static.tildacdn.com/tild6236-3739-4138-a138-333339393434/-/resize/20x/Group_180.png	C:/webcopy/malinkacapital.com/static.tildacdn.com/tild6236-3739-4138-a138-333339393434/-/resize/20x/Group_180.png	(from https://www.malinkacapital.com/)
01:52:20	112685/112685	---MCZ	200	added ('OK')	text/html	etag:W/%221b82d-5a6c83041ebe7%22	https://www.malinkacapital.com/politika_konf	C:/webcopy/malinkacapital.com/www.malinkacapital.com/politika_konf.html	(from https://www.malinkacapital.com/)
01:52:21	342146/342146	---M-Z	200	added ('OK')	application/javascript	etag:W/%2253882-njz5vN9YBimeNW89ZOBJNpY+XZc%22	https://cdn.jsdelivr.net/npm/vue/dist/vue.js	C:/webcopy/malinkacapital.com/cdn.jsdelivr.net/npm/vue/dist/vue.js	(from https://www.malinkacapital.com/)
01:52:21	367233/367233	---M-Z	200	added ('OK')	application/javascript	etag:%225ed7b337-19c5c%22	https://mc.yandex.ru/metrika/tag.js	C:/webcopy/malinkacapital.com/mc.yandex.ru/metrika/tag.js	(from https://www.malinkacapital.com/)
01:52:22	8458/8458	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d19d52e-210a%22	https://stat.tildacdn.com/js/tildastat-0.2.min.js	C:/webcopy/malinkacapital.com/stat.tildacdn.com/js/tildastat-0.2.min.js	(from https://www.malinkacapital.com/)
01:52:22	37183/37183	---M--	200	added ('OK')	image/png	etag:%225dd2bb26f74ebb0664a002a83ac2d5d7%22	https://static.tildacdn.com/tild6130-6365-4565-b538-653231396137/___.png	C:/webcopy/malinkacapital.com/static.tildacdn.com/tild6130-6365-4565-b538-653231396137/___.png	(from https://www.malinkacapital.com/hedge)
